"session","player","stage","step","round","time","timeup"
"room000037","698260233999578","instructions","instructions",1,1362,0
"room000037","698260233999578","quiz","quiz",1,2596,0
"room000037","698260233999578","DD","DD",1,8747,0
"room000037","698260233999578","game","guess",1,10438,1
"room000037","698260233999578","game","results",1,5062,1
"room000037","698260233999578","game","guess",2,10930,1
"room000037","698260233999578","game","results",2,6034,1
"room000037","698260233999578","game","guess",3,10828,1
"room000037","698260233999578","game","results",3,6110,1
"room000037","698260233999578","game","guess",4,11443,1
"room000037","698260233999578","game","results",4,5195,1
